# Spec No	Fractional day	Fractional time	Scans	Tint	UAV servo sent position byte	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Inside temperature	Outside temperature	Total Experiment Time (sec)	Total Acquisition Time (sec)	NO2.RMS	NO2.SlCol(NO2)	NO2.SlErr(NO2)	NO2.SlCol(H2O)	NO2.SlErr(H2O)	NO2.SlCol(O3)	NO2.SlErr(O3)	NO2.SlCol(O4)	NO2.SlErr(O4)	NO2.SlCol(pola)	NO2.SlErr(pola)	NO2.SlCol(ring)	NO2.SlErr(ring)	Fluxes 500
57	77.428914	10.2939284722222	1	0.03	52	18/03/2019	10:17:38	0	0	33	30	0.00051418	8606999999999999	331280000000000	6.1744E+021	1.468E+021	6.6893E+018	3.0107E+017	9.4464E+042	1.7017E+041	0.0025632	0.00063995	-0.007376	0.00043824	564.214
58	77.42929	10.3029706944444	1	0.03	58	18/03/2019	10:18:10	0	0	32	30	0.00069291	1.2292E+016	446430000000000	3.9898E+022	1.9783E+021	6.5406E+018	4.0572E+017	1.3824E+043	2.2933E+041	0.0029869	0.00086239	-0.01068	0.00059057	623.1044
59	77.429668	10.3120273611111	1	0.03	64	18/03/2019	10:18:43	0	0	33	30	0.0008649	2.3382E+016	557250000000000	7.8717E+022	2.4693E+021	4.4499E+018	5.0642E+017	2.145E+043	2.8625E+041	0.00035769	0.0010765	-0.0066427	0.00073717	673.6012
60	77.430045	10.3210840277778	1	0.03	70	18/03/2019	10:19:15	0	0	33	30	0.0011437	4.2327E+016	736850000000000	1.3561E+023	3.2652E+021	4.96E+018	6.6964E+017	2.8374E+043	3.7851E+041	-0.0019463	0.0014234	-0.0017452	0.00097475	726.8338
61	77.430422	10.33012625	1	0.03	76	18/03/2019	10:19:48	0	0	32	30	0.0030839	1.0369E+016	1986900000000000	6.652E+022	8.8047E+021	2.3277E+018	1.8057E+018	8.7462E+042	1.0207E+042	-0.043204	0.0038383	0.0069054	0.0026285	178.5934
62	77.430799	10.3391684722222	1	0.03	82	18/03/2019	10:20:21	0	0	33	30	0.0068752	1.1677E+016	4429600000000000	-1.4653E+021	1.9629E+022	8.7725E+018	4.0256E+018	2.2095E+043	2.2754E+042	-0.065487	0.0085568	-0.081264	0.0058598	65.32546
63	77.431175	10.3482106944444	1	0.03	28	18/03/2019	10:20:53	0	0	32	30	0.001241	543370000000000	799540000000000	-2.5903E+022	3.543E+021	9.06E+018	7.2662E+017	-3.3667E+042	4.1071E+041	-0.021892	0.0015445	0.0040084	0.0010577	601.8566
64	77.431552	10.3572529166667	1	0.03	34	18/03/2019	10:21:26	0	0	33	30	0.00074454	5233800000000000	479700000000000	1.6006E+021	2.1257E+021	2.2649E+018	4.3595E+017	1.8311E+042	2.4641E+041	0.015086	0.00092665	-0.0085811	0.00063458	640.0543
65	77.431929	10.3662951388889	1	0.03	40	18/03/2019	10:21:58	0	0	32	30	0.00067187	6514700000000000	432880000000000	9.2258E+019	1.9182E+021	4.3254E+018	3.934E+017	1.2418E+042	2.2236E+041	-0.0036712	0.0008362	-0.0059902	0.00057264	623.8081
66	77.432306	10.3753373611111	1	0.03	46	18/03/2019	10:22:31	0	0	33	30	0.00054074	7765400000000000	348390000000000	1.2902E+022	1.5438E+021	7.9075E+018	3.1662E+017	8.5633E+042	1.7896E+041	-0.0065633	0.000673	-0.0081057	0.00046088	601.7224
