# Spec No	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Fractional day	Fractional time	Latitude	Longitude	Elev. viewing angle	Azim. viewing angle	NO2.RMS	NO2.SlCol(no2)	NO2.SlErr(no2)	NO2.SlCol(o3)	NO2.SlErr(o3)	NO2.SlCol(o4)	NO2.SlErr(o4)	NO2.SlCol(h2o)	NO2.SlErr(h2o)	NO2.SlCol(ring)	NO2.SlErr(ring)	NO2.Shift(Spectrum)	NO2.Stretch(Spectrum)1	NO2.Stretch(Spectrum)2	Fluxes 500
49	18/03/2019	10:07:24	77.421806	10.1233333333333	44	28	89	185	0.00021014	1949900000000000	147900000000000	-4.8222E+016	1.5348E+017	1.5349E+041	8.3381E+040	1.793E+022	1.9793E+021	-0.0015953	0.00020802	0.014986	-6.7955E-05	0	2920.344
50	18/03/2019	10:08:20	77.422465	10.1391666666667	44	28	3	185	0.0013699	1.7675E+016	964150000000000	2.0415E+018	1.0005E+018	7.0252E+042	5.4356E+041	2.7796E+022	1.2903E+022	-0.003492	0.001356	0.03957	-2.8028E-05	0	1530.321
51	18/03/2019	10:09:02	77.422951	10.1508333333333	44	28	6	185	0.00040434	4.8743E+016	284590000000000	1.2444E+018	2.9533E+017	2.5579E+043	1.6044E+041	1.5123E+023	3.8086E+021	0.0069681	0.00040026	0.010916	-0.00010086	0	5772.245
52	18/03/2019	10:09:44	77.423438	10.1625	44	28	12	185	0.00052364	3.1253E+016	368560000000000	8.6058E+017	3.8247E+017	2.3568E+043	2.0778E+041	1.172E+023	4.9323E+021	0.0048002	0.00051836	0.013363	-4.9766E-05	0	10135.93
53	18/03/2019	10:10:26	77.423924	10.1741666666667	44	28	18	185	0.00048051	1.3763E+016	338200000000000	-1.608E+016	3.5096E+017	1.6986E+043	1.9066E+041	7.9426E+022	4.5261E+021	0.0043693	0.00047566	0.013757	-4.5047E-05	0	8712.147
54	18/03/2019	10:11:12	77.424444	10.1866666666667	44	28	30	185	0.00045725	3422000000000000	321820000000000	-1.3451E+018	3.3397E+017	7.4406E+042	1.8143E+041	5.6044E+022	4.3069E+021	0.0086678	0.00045263	0.014933	-3.6667E-05	0	7342.092
55	18/03/2019	10:11:57	77.424965	10.1991666666667	44	28	48	185	0.00044294	1.0637E+015	311750000000000	-9.4975E+017	3.2352E+017	3.012E+042	1.7576E+041	1.2074E+022	4.1722E+021	0.0093242	0.00043847	0.013545	-4.3026E-05	0	6731.886
56	18/03/2019	10:12:41	77.425486	10.2116666666667	44	28	60	185	0.00038453	1967000000000000	270650000000000	6.319E+017	2.8086E+017	3.7653E+041	1.5258E+041	-8.9356E+021	3.622E+021	0.0089298	0.00038065	0.013281	-4.0856E-05	0	5772.769
57	18/03/2019	10:14:03	77.426424	10.2341666666667	44	28	89	185	0.00019775	775050000000000	139180000000000	-3.5428E+017	1.4444E+017	-8.6253E+040	7.8466E+040	1.8197E+022	1.8627E+021	-0.0016259	0.00019576	0.011958	-5.5103E-05	0	2845.179
58	18/03/2019	10:15:00	77.427083	10.25	44	28	3	185	0.0013964	1.6387E+016	982790000000000	5.9101E+017	1.0199E+018	6.1556E+042	5.5407E+041	4.2808E+022	1.3153E+022	-0.0011299	0.0013823	0.037416	-3.033E-05	0	1474.815
59	18/03/2019	10:15:42	77.427569	10.2616666666667	44	28	6	185	0.00038423	4.5E+016	270430000000000	1.5159E+018	2.8064E+017	2.5118E+043	1.5246E+041	1.5051E+023	3.6191E+021	0.0077575	0.00038035	0.008806	-8.885E-05	0	5666.098
60	18/03/2019	10:16:24	77.428056	10.2733333333333	44	28	12	185	0.00051857	3.0531E+016	364980000000000	7.9712E+017	3.7876E+017	2.3434E+043	2.0577E+041	1.2033E+023	4.8846E+021	0.0048526	0.00051334	0.011665	-4.2626E-05	0	10266.55
61	18/03/2019	10:17:06	77.428542	10.285	44	28	18	185	0.00049298	1.5916E+016	346970000000000	8.1439E+017	3.6007E+017	1.6186E+043	1.9561E+041	7.8209E+022	4.6435E+021	0.0055989	0.000488	0.012513	-3.6003E-05	0	9072.512
62	18/03/2019	10:17:51	77.429063	10.2975	44	28	30	185	0.00046522	7469200000000000	327430000000000	-1.5991E+018	3.3979E+017	6.3188E+042	1.846E+041	2.8305E+022	4.382E+021	0.009659	0.00046052	0.012558	-3.0987E-05	0	8166.917
63	18/03/2019	10:18:36	77.429583	10.31	44	28	48	185	0.00048274	3148200000000000	339770000000000	-4.3846E+017	3.5259E+017	8.0547E+041	1.9155E+041	2.4981E+021	4.5471E+021	0.012096	0.00047787	0.011844	-4.1012E-05	0	7625.761
64	18/03/2019	10:19:20	77.430104	10.3225	44	28	60	185	0.00039517	1997900000000000	278140000000000	-1.0635E+018	2.8863E+017	7.1216E+041	1.568E+041	9.0865E+021	3.7223E+021	0.011515	0.00039119	0.012289	-3.5785E-05	0	6239.269
65	18/03/2019	10:20:41	77.431042	10.345	44	28	89	185	0.00019019	1505800000000000	133860000000000	2.0303E+017	1.3892E+017	-5.1432E+040	7.5469E+040	1.1943E+022	1.7915E+021	-0.0015993	0.00018828	0.012216	-5.0128E-05	0	2989.47
66	18/03/2019	10:21:39	77.431701	10.3608333333333	44	28	3	185	0.0013743	1.7228E+016	967240000000000	4.7708E+017	1.0038E+018	6.7708E+042	5.453E+041	5.0204E+022	1.2944E+022	-0.0017019	0.0013604	0.037529	-2.3954E-05	0	1518.413
67	18/03/2019	10:22:21	77.432187	10.3725	44	28	6	185	0.00036889	4.3137E+016	259630000000000	5.0719E+017	2.6943E+017	2.426E+043	1.4637E+041	1.4913E+023	3.4746E+021	0.0082153	0.00036516	0.0087114	-9.2947E-05	0	5745.431
68	18/03/2019	10:23:02	77.432674	10.3841666666667	44	28	12	185	0.00052629	3.0835E+016	370420000000000	1.0902E+018	3.844E+017	2.1473E+043	2.0883E+041	1.1063E+023	4.9573E+021	0.0072973	0.00052098	0.011937	-4.1833E-05	0	10595.54
69	18/03/2019	10:23:44	77.43316	10.3958333333333	44	28	18	185	0.00050402	1.8272E+016	354740000000000	7.5602E+017	3.6813E+017	1.4971E+043	1.9999E+041	8.2816E+022	4.7475E+021	0.007101	0.00049893	0.012482	-3.6749E-05	0	9631.131
70	18/03/2019	10:24:29	77.433681	10.4083333333333	44	28	30	185	0.00048307	9.939E+015	340000000000000	-9.3449E+017	3.5284E+017	5.8075E+042	1.9168E+041	3.9137E+022	4.5502E+021	0.011286	0.0004782	0.013066	-2.8292E-05	0	8790.039
71	18/03/2019	10:25:15	77.434201	10.4208333333333	44	28	48	185	0.00049404	3997500000000000	347720000000000	-2.171E+018	3.6085E+017	6.5297E+041	1.9603E+041	2.5503E+022	4.6535E+021	0.017113	0.00048906	0.012291	-3.2789E-05	0	8312.842
72	18/03/2019	10:26:00	77.434722	10.4333333333333	44	28	60	185	0.00040563	3097800000000000	285500000000000	-9.435E+017	2.9627E+017	-3.1569E+041	1.6095E+041	-1.5277E+021	3.8208E+021	0.011094	0.00040154	0.012778	-3.3911E-05	0	6685.455
73	18/03/2019	10:27:20	77.43566	10.4558333333333	44	28	89	185	0.00019197	2.0028E+015	135120000000000	-3.6624E+016	1.4022E+017	1.9452E+041	7.6174E+040	1.2574E+022	1.8082E+021	7.8182E-05	0.00019004	0.012792	-4.7957E-05	0	3040.289
74	18/03/2019	10:28:17	77.436319	10.4716666666667	44	28	3	185	0.0014048	1.6355E+016	988760000000000	8.0112E+017	1.0261E+018	7.6762E+042	5.5743E+041	3.3016E+022	1.3233E+022	-0.0060034	0.0013907	0.038441	-3.0856E-05	0	1511.123
75	18/03/2019	10:29:00	77.436806	10.4833333333333	44	28	6	185	0.000392	4.1286E+016	275900000000000	1.4721E+018	2.8632E+017	2.754E+043	1.5555E+041	1.6775E+023	3.6924E+021	0.0078026	0.00038805	0.0088288	-9.7974E-05	0	5900.62
76	18/03/2019	10:29:41	77.437292	10.495	44	28	12	185	0.00053001	3.1648E+016	373030000000000	4.7501E+017	3.8712E+017	2.2773E+043	2.103E+041	1.2262E+023	4.9923E+021	0.0075708	0.00052466	0.011938	-4.3064E-05	0	10784.98
77	18/03/2019	10:30:24	77.437778	10.5066666666667	44	28	18	185	0.00051285	2.0214E+016	360960000000000	1.0601E+018	3.7459E+017	1.4638E+043	2.035E+041	7.5412E+022	4.8307E+021	0.0078181	0.00050768	0.012546	-3.6598E-05	0	9899.136
78	18/03/2019	10:31:09	77.438299	10.5191666666667	44	28	30	185	0.00049329	9.9821E+015	347190000000000	-2.5521E+018	3.603E+017	5.8472E+042	1.9573E+041	4.3549E+022	4.6464E+021	0.011306	0.00048831	0.012567	-3.1329E-05	0	9010.447
79	18/03/2019	10:31:53	77.438819	10.5316666666667	44	28	48	185	0.00049138	5249700000000000	345850000000000	6.9408E+016	3.589E+017	2.202E+042	1.9498E+041	2.5257E+022	4.6285E+021	0.016156	0.00048642	0.011474	-3.0427E-05	0	9231.179
80	18/03/2019	10:32:39	77.43934	10.5441666666667	44	28	60	185	0.00042655	4684600000000000	300220000000000	7.5035E+017	3.1155E+017	7.3696E+041	1.6925E+041	2.1415E+022	4.0178E+021	0.014484	0.00042225	0.011675	-2.4589E-05	0	7198.716
81	18/03/2019	10:33:59	77.440278	10.5666666666667	44	28	89	185	0.00017439	3328500000000000	122740000000000	1.8852E+017	1.2737E+017	4.9117E+041	6.9196E+040	1.9647E+022	1.6426E+021	-0.00088535	0.00017263	0.0096705	-3.6504E-05	0	3031.381
82	18/03/2019	10:34:56	77.440938	10.5825	44	28	3	185	0.0013924	1.732E+016	980050000000000	2.249E+018	1.017E+018	6.6114E+042	5.5252E+041	3.6355E+022	1.3116E+022	-0.00095593	0.0013784	0.035012	-1.5521E-05	0	1501.755
83	18/03/2019	10:35:38	77.441424	10.5941666666667	44	28	6	185	0.00039453	3.5268E+016	277680000000000	1.2213E+018	2.8816E+017	2.5823E+043	1.5655E+041	1.5878E+023	3.7162E+021	0.0082659	0.00039055	0.0032454	-8.6004E-05	0	6053.101
84	18/03/2019	10:36:20	77.44191	10.6058333333333	44	28	12	185	0.00053154	2.6837E+016	374110000000000	1.5629E+018	3.8823E+017	2.1307E+043	2.1091E+041	1.0733E+023	5.0067E+021	0.0080492	0.00052618	0.0070613	-2.7683E-05	0	10980.69
85	18/03/2019	10:37:02	77.442396	10.6175	44	28	18	185	0.00051471	1.8069E+016	362270000000000	2.8048E+017	3.7594E+017	1.3027E+043	2.0424E+041	7.3208E+022	4.8482E+021	0.0092737	0.00050952	0.0074125	-2.3092E-05	0	10523.33
86	18/03/2019	10:37:44	77.442882	10.6291666666667	44	28	30	185	0.00050142	9.7999E+015	352910000000000	-2.1739E+018	3.6623E+017	5.438E+042	1.9896E+041	3.0615E+022	4.723E+021	0.012368	0.00049636	0.00762	-1.286E-05	0	9840.958
87	18/03/2019	10:38:29	77.443403	10.6416666666667	44	28	48	185	0.00055127	4474000000000000	388000000000000	-3.4273E+017	4.0265E+017	2.5542E+042	2.1874E+041	7.362E+021	5.1926E+021	0.016669	0.00054571	0.0072276	-1.0794E-05	0	10512.91
88	18/03/2019	10:39:15	77.443924	10.6541666666667	44	28	60	185	0.0004423	3049900000000000	311310000000000	1.1421E+018	3.2306E+017	3.2356E+041	1.755E+041	1.0603E+022	4.1662E+021	0.013424	0.00043784	0.0080384	-3.2288E-06	0	7601.641
89	18/03/2019	10:40:36	77.444861	10.6766666666667	44	28	89	185	0.00015986	2.1992E+015	112520000000000	2.9232E+017	1.1676E+017	1.9677E+041	6.3433E+040	1.1014E+022	1.5058E+021	7.7601E-05	0.00015825	0.0061852	-3.1668E-05	0	3190.351
90	18/03/2019	10:41:33	77.445521	10.6925	44	28	3	185	0.0012191	1.331E+016	858040000000000	3.0184E+018	8.9043E+017	6.6489E+042	4.8374E+041	5.1776E+022	1.1483E+022	-0.0014241	0.0012068	0.032078	8.6189E-06	0	1647.891
91	18/03/2019	10:42:14	77.446007	10.7041666666667	44	28	6	185	0.00041997	3.0366E+016	295580000000000	1.3964E+018	3.0674E+017	2.7043E+043	1.6664E+041	1.5787E+023	3.9558E+021	0.0072082	0.00041573	-0.00075589	-8.122E-05	0	6818.741
92	18/03/2019	10:42:56	77.446493	10.7158333333333	44	28	12	185	0.00053073	2.3106E+016	373540000000000	7.0729E+017	3.8764E+017	2.1342E+043	2.1059E+041	1.0911E+023	4.9991E+021	0.0084535	0.00052537	0.0043651	-2.0387E-05	0	11211.95
93	18/03/2019	10:43:38	77.446979	10.7275	44	28	18	185	0.00052523	1.6016E+016	369670000000000	8.0922E+017	3.8363E+017	1.2869E+043	2.0841E+041	7.1386E+022	4.9473E+021	0.010759	0.00051993	0.0046628	-1.4902E-05	0	11001.01
94	18/03/2019	10:44:24	77.4475	10.74	44	28	30	185	0.00050916	6951900000000000	358360000000000	-6.8978E+017	3.7189E+017	6.1399E+042	2.0203E+041	2.9998E+022	4.7959E+021	0.01282	0.00050403	0.0051164	-8.4989E-06	0	10163.62
95	18/03/2019	10:45:08	77.448021	10.7525	44	28	48	185	0.00056318	2212600000000000	396380000000000	1.2317E+018	4.1134E+017	1.8723E+042	2.2347E+041	-5.1241E+021	5.3047E+021	0.01588	0.00055749	0.0056374	-9.9921E-07	0	11659.07
