sn_name,gal_mag,redshift
1991ac,17.59,0.061098

1991Q,15.483,0.023819

1991D,14.875,0.041803

1991E,17.12,0.023999

1991F,12.945,0.006157

1991G,11.353,0.002521

1991H,16.11,0.017999

1991I,16.93,0.036001

1991J,13.04,0.011211

1991K,14.321,0.016998

1991L,16.37,0.030531

1991M,13.449,0.007236

1991O,16.17

1991N,11.235,0.003319

1991R,16.82,0.035024

1991S,15.355,0.055001

1991P,15.98,0.036998

1991T,11.486,0.005797

1991bk,14.848,0.022727

1991Y

1991V,15.475,0.044921

1991U,14.673,0.031441

1991X,11.82,0.008793

1991Z,16.34,0.022021

1991aa,14.915,0.010704

1991ab,16.73,0.064

1991ad,17.03,0.069998

1991ae,15.144,0.029336

1991af,15.503,0.022388

1991an,19.5

1991ah,17.9,0.036998

1991ag,15.052,0.014223

1991ai,15.636,0.052803

1991aj,16.12,0.031418

1991bl,19

1991am,15.1,0.061025

1991ak,13.455,0.010006

1991al,0.01

1991ao,17.7,0.016421

1991aq,15.55

1991as

1991at,15.579,0.041051

1991au,16.31,0.008716

1991ar,14.276,0.015218

1991av,17.4,0.025017

1991aw,15.304,0.042646

1991ay,16.75,0.050034

1991az,15.037,0.032391

1991ax,15.51

1991ba,15.313,0.024486

1991bc,14.994,0.021351

1991bd,14.769,0.012731

1991bb,16.13,0.026563

1991be,17.59

1991bf,15.346,0.030091

1991bh,17.01

1991bg,10.092,0.003058

1991bi,13.509,0.016108

1991B,12.7,0.008713

1991bj,14.91,0.018132

1992ak,15.384,0.027188

1992A,10.877,0.006152

1992B,17.17,0.057639

1992E,15.75,0.060001

1992C,12.029,0.010133

1992D,16.87,0.050001

1992F,16.5

1992G,12.147,0.005295

1992H,12.108,0.005995

1992M,16.375,0.051999

1992I,13.294,0.011951

1992L

1992J,15.49,0.045001

1992K,12.63,0.010273

1992bu,11.606,0.010321

1992N,12.867,0.014525

1992O,17.35,0.040001

1992P,15.067,0.025249

1992Q,16.118,0.034068

1992R,16.31,0.052326

1992T,15.34

1992S,16.52

1992U,15.13,0.010974

1992bi,21.3,0.458

1992V,17.04,0.046233

1992Y,14.81,0.033654

1992aa,15.28,0.033146

1992Z,16.93

1992ac,16.31,0.052326

1992ab,12.837,0.010399

1992ae,0.074998

1992ah,16.635

1992ag,15.305,0.025164

1992af,15.196,0.020013

1992ad,13.027,0.004239

1992aj

1992ai,17.067,0.060598

1992ar,16.8,0.1451

1992am,15.387,0.048707

1992an,16.1,0.050998

1992aq,18.9,0.100999

1992al,14.254,0.0146

1992ao,13.328,0.012271

1992au,17.53,0.060998

1992ap,14.792,0.029876

1992as,17.1,0.025017

1992at,16.06

1992av,17.45

1992aw,17.04,0.036001

1992ax

1992ay,0.061999

1992az,13.189,0.01416

1992bb,15.5,0.028913

1992ba,12.777,0.004583

1992be,17.865

1992bf,13.697,0.013601

1992bc,15.673,0.020163

1992bd,10.147,0.004231

1992bj,17.24,0.055998

1992bg,15.59,0.036001

1992bh,16.62,0.045001

1992bk,15.437,0.058413

1992bl,15.421,0.042999

1992bm,17.74,0.050034

1992bn,18.02

1992bt,12.08,0.007985

1992bq,15.61

1992bo,14.922,0.018594

1992bp,17.14,0.079001

1992br,18.6,0.088

1992bs,16.37,0.063377

1993B,16.9,0.069001

1993A,0.027999

1993F,18

1993E,17.19,0.025124

1993C,13.313,0.012785

1993D,14.937,0.027318

1993G,11.606,0.010321

1993H,14.734,0.024246

1993I,15.002,0.042851

1993J,7.792,-0.000131

1993K,12.59,0.009065

1993ak,14.494,0.034667

1993N,14.889,0.009806

1993M,17.32,0.078

1993L,13.241,0.006417

1993P,16.1,0.050501

1993O,17.02,0.051999

1993S,15.698,0.032894

1993T,17.98,0.088

1993Q,15.65

1993R,12.283,0.005506

1993W,16,0.017999

1993X,11.94,0.008062

1993Y,15.129,0.020009

1993aa,17.09

1993Z,11.138,0.004523

1993ab,14.524,0.013931

1993ac,16.183,0.049

1993ae,15.359,0.019026

1993ad,14.58,0.017227

1993ag,16.66,0.070999

1993af,10.749,0.003345

1993ah,15.459,0.029285

1993ai,16.215,0.034

1993al

1993aj,17.403,0.077583

1994H,21.1,0.373998

1994al,21.2,0.42

1994F,0.353998

1994A,14.087,0.027758

1994B,16.98,0.089001

1994am,19.8,0.372

1994G,0.424997

1994ao,0.496343

1994E,17.99,0.060001

1994J,17.19,0.056352

1994C,15.441,0.050193

1994D,10.606,0.002003

1994K,15.536,0.023833

1994I,8.538,0.001544

1994L,12.469,0.006831

1994P,13.184,0.003603

1994M,14.951,0.023154

1994O,15.036,0.039861

1994N,14.889,0.009806

1994Q,16.386,0.029477

1994R,12.677,0.006973

1994S,14.201,0.015177

1994T,15.905,0.034667

1994U,13.547,0.004433

1994V,14.02,0.010074

1994W,11.612,0.004106

1994X,15.91,0.055598

1994Y,11.233,0.008529

1994ac,15.634,0.017718

1994ab,15.46,0.035024

1994aa,13.343,0.009059

1994Z,14.618,0.012011

1994ah,15.504,0.021664

1994an,0.378001

1994ad,14.357,0.020442

1994ag,15.587,0.053793

1994ae,12.118,0.004274

1994af,16.9,0.0125

1994aj,0.032018

1994ai,10.82,0.005026

1994ak,12.309,0.008517

1995bf,23.4,0.985101

