m-M,redshift
40.55,0.2689
40.03,0.269
40.43,0.269329
40.58,0.2696
40.39,0.27
40.36,0.270007
40.83,0.27009
40.83,0.2701
40.18,0.270473
40.57,0.2707
40.82,0.27095
40.6,0.271354
40.44,0.2716
40.76,0.2719
40.8,0.272
40.37,0.2731
40.27,0.273141
40.83,0.273265
41.05,0.273434
41.02,0.273548
40.66,0.2738
40.01,0.274
40.55,0.274927
40.5,0.275009
40.54,0.2754
40.88,0.2756
40.87,0.27572
41.02,0.275974
40.8,0.2764
40.8,0.277
40.12,0.2771
40.83,0.277296
40.71,0.2773
40.43,0.277326
40.58,0.277441
40.73,0.277787
40.76,0.278
41.32,0.27802
40.45,0.278103
40.49,0.278296
40.83,0.2786
40.8,0.278904
42.69,0.279179
40.61,0.279533
40.83,0.2796
40.95,0.2799
40.88,0.279997
40.12,0.28
41.94,0.280067
40.54,0.2802
40.48,0.2803
40.95,0.280494
40.66,0.280569
40.86,0.280578
40.71,0.280661
40.42,0.2807
41.11,0.280855
40.55,0.280999
40.61,0.281
40.68,0.281092
40.96,0.28139
40.7,0.281567
40.82,0.281658
40.57,0.281725
40.42,0.281762
40.85,0.281988
40.81,0.282
40.57,0.282392
41.06,0.282402
40.92,0.282787
40.58,0.2828
40.61,0.28304
40.66,0.2834
40.65,0.283961
41.02,0.284202
41.47,0.284241
41.31,0.284278
40.66,0.28462
39.71,0.285
40.84,0.285147
40.7,0.285281
40.55,0.285824
40.64,0.285847
40.18,0.285848
40.77,0.285857
40.77,0.286131
41.34,0.2862
40.93,0.286372
42.15,0.28667
41.08,0.286703
41.07,0.287
40.48,0.2871
41.11,0.287998
41.13,0.288
40.76,0.288012
40.84,0.288027
40.53,0.2881
40.95,0.2886
40.8,0.28876
40.94,0.2888
40.67,0.288815
40.48,0.289
40.78,0.289052
41.2,0.289167
41.73,0.289217
40.54,0.289396
40.85,0.289402
41.07,0.2897
41.07,0.289816
40.33,0.29
40.96,0.290028
40.81,0.2903
41.12,0.290371
40.77,0.290675
40.79,0.291
41.27,0.291263
40.84,0.291349
41.38,0.2915
40.63,0.291833
40.88,0.292
40.68,0.292197
40.95,0.292252
40.75,0.292264
40.92,0.292421
40.78,0.292837
40.83,0.2931
40.53,0.2932
41.12,0.29329
40.83,0.293488
40.59,0.293582
41.01,0.2937
40.38,0.293703
40.27,0.293922
42.65,0.2943
40.05,0.294304
41.13,0.294362
40.99,0.294615
40.26,0.294849
40.66,0.295
40.73,0.2953
41.09,0.295372
41.23,0.295639
40.47,0.295891
40.98,0.296
40.72,0.296412
40.42,0.297
40.79,0.2973
41.03,0.297526
40.49,0.298
41.01,0.298563
40.57,0.298629
41.01,0.298808
40.06,0.299
41.26,0.299006
40.22,0.299019
41.07,0.2991
40.54,0.299249
40.99,0.299569
41.29,0.2996
40.2,0.3
41.05,0.3001
40.64,0.300106
40.85,0.3003
40.69,0.300443
40.96,0.300455
40.95,0.3006
40.8,0.300656
40.72,0.300839
40.89,0.3009
40.66,0.301106
41.73,0.301222
40.89,0.301347
41.48,0.301715
41.01,0.302
40.69,0.302444
41.28,0.302507
41.07,0.30272
40.79,0.3028
40.77,0.303
41.44,0.303225
40.73,0.3037
41.41,0.303881
41.02,0.304
41.05,0.304287
40.45,0.304341
40.86,0.3044
41,0.3045
40.89,0.3048
40.25,0.304812
